Stock,Shares_Held
ADBL,0
NMB,0
NICA,10
NHPC,0
NBB,10
NABIL,0
MLBL,0
RLI,20
MFIL,0
MEGA,0
LICN,0
LBBL,0
KKHC,10
SANIMA,0
JOSHI,0
JBBL,0
ICFC,0
HURJA,0
HPPL,0
EDBL,0
EBL,0
DHPL,0
CZBIL,0
CIT,0
BARUN,0
AHPC,20
PCBL,20
PROFL,0
KSBBL,0
AKJCL,0
