SUMMARY
Metric,Value
Initial Investment,200000.00
Final Value,589364.92
Total Profit,389364.92
Return %,194.68%
Target Reached,Yes

TRADE HISTORY
Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
2021-04-25,HURJA,BUY,369,358.0,-132102.0,0.0,Trend Entry
2021-04-26,JOSHI,SELL,948,130.0,123240.0,2844.0,Trailing Stop (7% drop)
2021-04-26,KKHC,SELL,1039,125.0,129875.0,-7273.0,Trailing Stop (7% drop)
2021-04-26,DHPL,SELL,123,125.0,15375.0,-984.0,Trailing Stop (7% drop)
2021-04-29,NBB,BUY,348,379.0,-131892.0,0.0,Trend Entry
2021-05-02,KKHC,BUY,988,134.0,-132392.0,0.0,Trend Entry
2021-05-03,HPPL,BUY,294,411.0,-120834.0,0.0,Trend Entry
2021-05-09,HURJA,SELL,369,363.0,133947.0,1845.0,Trailing Stop (7% drop)
2021-05-09,SANIMA,BUY,339,395.0,-133905.0,0.0,Trend Entry
2021-05-12,KKHC,SELL,988,177.0,174876.0,42484.0,Take Profit (25% gain)
2021-05-12,JBBL,BUY,524,271.0,-142004.0,0.0,Trend Entry
2021-05-13,HURJA,BUY,84,391.0,-32844.0,0.0,Trend Entry
2021-05-30,JBBL,SELL,524,363.0,190212.0,48208.0,Take Profit (25% gain)
2021-05-30,MEGA,BUY,476,336.0,-159936.0,0.0,Trend Entry
2021-05-31,HPPL,SELL,294,416.0,122304.0,1470.0,Trailing Stop (7% drop)
2021-05-31,HURJA,SELL,84,378.0,31752.0,-1092.0,Trailing Stop (7% drop)
2021-05-31,PROFL,BUY,544,288.0,-156672.0,0.0,Trend Entry
2021-06-01,MFIL,BUY,40,682.0,-27280.0,0.0,Trend Entry
2021-06-07,MFIL,SELL,40,907.0,36280.0,9000.0,Take Profit (25% gain)
2021-06-07,PCBL,BUY,77,478.0,-36806.0,0.0,Trend Entry
2021-06-08,PROFL,SELL,544,375.0,204000.0,47328.0,Take Profit (25% gain)
2021-06-08,MLBL,BUY,377,487.0,-183599.0,0.0,Trend Entry
2021-06-09,JBBL,BUY,44,460.0,-20240.0,0.0,Trend Entry
2021-06-14,SANIMA,SELL,339,498.0,168822.0,34917.0,Take Profit (25% gain)
2021-06-14,DHPL,BUY,517,327.0,-169059.0,0.0,Trend Entry
2021-06-15,MLBL,SELL,377,458.0,172666.0,-10933.0,Trailing Stop (7% drop)
2021-06-15,MFIL,BUY,157,1099.0,-172543.0,0.0,Trend Entry
2021-06-16,JBBL,SELL,44,472.0,20768.0,528.0,Trailing Stop (7% drop)
2021-06-16,DHPL,SELL,517,288.0,148896.0,-20163.0,Trailing Stop (7% drop)
2021-06-16,KKHC,BUY,599,283.0,-169517.0,0.0,Trend Entry
2021-06-20,MFIL,SELL,157,1000.0,157000.0,-15543.0,Trailing Stop (7% drop)
