Bonus Dividend(%)	Date
0	10/8/2025
0	12/26/2024
0	12/27/2023
40	12/30/2021
18	12/30/2020
1.75	12/31/2019
0	12/18/2018
5.71	6/18/2018
14	12/24/2016
11.4	1/1/2016
0	10/9/2014
0	12/28/2012
