Bonus Dividend(%)	Date
0	10/31/2022
6	10/25/2021
10.85	11/30/2020
10	9/15/2019
8.5	4/19/2019
12.75	4/19/2019
21	3/3/2017
11	1/14/2016
33	10/22/2014
14	4/9/2014
0	1/24/2013
8	1/16/2012
