Bonus Dividend(%),Date
5,"Jan 05, 2026"
7,"Jan 06, 2025"
14,"Jul 04, 2024"
25,"Jul 04, 2023"
30,"Aug 10, 2022"
9,"Jun 22, 2021"
22,"Jun 24, 2020"
22,"Sep 05, 2019"
22.06,"Dec 02, 2018"
22,"Apr 22, 2018"
21.85,"Aug 11, 2017"
35,"Feb 18, 2016"
50,"Jul 02, 2014"
38.89,"Jun 28, 2013"
35,"Jul 21, 2012"
