Bonus Dividend(%),Date
5,"Nov 03, 2025"
4,"Oct 15, 2024"
0,"Oct 02, 2023"
0,"Oct 14, 2022"
12.913,"Oct 08, 2021"
8,"Nov 26, 2020"
3,"Sep 17, 2019"
3.628,"Jan 01, 2019"
16,"Aug 28, 2017"
15.8,"Sep 22, 2016"
20,"Sep 28, 2015"
13,"Sep 14, 2014"
0,"Sep 20, 2013"
0,"Sep 20, 2012"
5,"Sep 29, 2011"
