Bonus Dividend(%)	Date
6.5	2/3/2023
10	1/6/2022
8	1/5/2021
0	1/7/2020
0	10/26/2018
15.8	1/3/2018
12	12/22/2016
15	12/29/2015
23.75	12/21/2014
15	12/12/2013
15	12/27/2012
15	12/29/2011
