Bonus Dividend(%)	Date
4	1/3/2023
8.075	1/5/2022
5	1/1/2021
7	12/20/2019
5	10/29/2018
8.26	6/10/2018
13.5	10/3/2016
48.5	10/25/2015
6	11/1/2014
0	12/16/2011
