Bonus Dividend(%),Date
4,"Dec 09, 2022"
10,"Nov 30, 2021"
10,"Jan 01, 2021"
0,"Oct 31, 2019"
1,"Dec 31, 2018"
10.7539,"Jun 28, 2018"
13.25,"Feb 28, 2017"
10,"Dec 29, 2015"
12,"Dec 31, 2014"
0,"Dec 30, 2013"
