Bonus Dividend(%)	Date
3.25	11/6/2025
3	12/31/2024
2	3/14/2023
20	12/31/2021
15	12/30/2020
6	12/29/2019
6	2/28/2019
20	1/29/2018
20	3/31/2017
15	4/11/2016
7	4/19/2015
0	5/2/2014
