Bonus Dividend(%),Date
29,"Oct 03, 2023"
19,"Nov 25, 2020"
10,"Sep 15, 2019"
10,"Dec 05, 2018"
20,"Sep 01, 2017"
26,"Sep 21, 2016"
39,"Jan 10, 2016"
15,"Dec 15, 2014"
0,"Feb 05, 2014"
