Bonus Dividend(%),Date
5,"Dec 24, 2025"
0,"Dec 26, 2022"
12.5,"Dec 22, 2021"
13,"Dec 31, 2020"
21,"Dec 20, 2019"
10,"Dec 25, 2018"
15,"Aug 02, 2018"
19,"Dec 22, 2016"
8,"Jan 26, 2016"
20,"Nov 13, 2014"
0,"Dec 01, 2013"
0,"Dec 04, 2011"
