Bonus Dividend(%),Date
4,"Dec 19, 2025"
3.8,"Dec 22, 2024"
3.75,"Dec 15, 2023"
3,"Dec 28, 2022"
3.5,"Dec 22, 2021"
6,"Dec 30, 2020"
6,"Nov 29, 2019"
5,"Jan 02, 2019"
15.42,"Dec 15, 2017"
28,"Feb 05, 2017"
27,"Jan 19, 2016"
15,"Jan 01, 2015"
12.5,"Sep 25, 2013"
12.5,"Sep 28, 2012"
12.5,"Nov 06, 2011"
