Bonus Dividend(%)	Date
0	10/13/2025
0	11/10/2024
9	10/9/2023
10	12/5/2022
17	10/24/2021
10	11/2/2020
10	9/30/2019
0	11/30/2018
16	9/22/2017
15	9/29/2016
20	10/1/2015
15	9/28/2014
10	9/27/2013
0	11/23/2012
0	11/17/2011
