Bonus Dividend(%),Date
6,"Oct 10, 2025"
10,"Sep 24, 2024"
10,"Oct 03, 2023"
13,"Nov 29, 2022"
6,"Dec 03, 2021"
5,"Dec 25, 2020"
5,"Dec 20, 2019"
0,"Dec 12, 2018"
33,"Dec 28, 2017"
70,"Dec 21, 2016"
30,"Dec 01, 2015"
12,"Sep 03, 2014"
10,"Sep 18, 2013"
30,"Oct 19, 2012"
10,"Oct 17, 2011"
