Bonus Dividend(%),Date
0,"Dec 31, 2025"
0,"Nov 25, 2024"
0,"Dec 15, 2023"
18.5,"Jan 02, 2023"
33.6,"Dec 31, 2021"
33.5,"Dec 30, 2020"
12,"Dec 24, 2019"
12,"Feb 26, 2019"
30,"Sep 12, 2017"
30,"Sep 21, 2016"
