Bonus Dividend(%)	Date
0	11/2/2025
5.5	11/24/2024
1	11/29/2023
3	11/23/2022
10	11/29/2021
14	12/30/2020
12.75	11/7/2019
16	12/28/2018
10	10/25/2017
16	3/20/2017
23	10/29/2015
21	9/26/2014
15	12/18/2013
3	12/31/2012
