Bonus Dividend(%)	Date
3	2/12/2023
11	12/24/2021
10	1/13/2021
12.75	1/1/2020
0	10/15/2018
10	12/31/2017
11.7	12/29/2016
9	10/19/2015
7	4/12/2015
7	7/2/2014
0	12/8/2011
