Bonus Dividend(%),Date
5,"Jan 02, 2026"
3,"Oct 21, 2024"
8,"Feb 01, 2023"
10,"Sep 27, 2021"
5,"Dec 11, 2020"
7,"Dec 26, 2019"
10,"Aug 25, 2017"
10,"Aug 15, 2016"
0,"Aug 27, 2015"
10,"Aug 22, 2014"
15,"Aug 09, 2013"
15,"Oct 31, 2012"
0,"Dec 21, 2011"
