Bonus Dividend(%)	Date
4	9/12/2025
13.3	9/25/2023
13.3	10/24/2021
7.03	10/8/2020
5	9/27/2019
0	12/21/2018
9	11/17/2017
20.75	12/16/2016
16	4/19/2016
12	11/19/2014
