Bonus Dividend(%),Date
8,"Jan 05, 2026"
0,"Nov 24, 2024"
4,"Dec 29, 2022"
16,"Dec 08, 2021"
15,"Jan 04, 2021"
16,"Dec 30, 2019"
16,"May 23, 2019"
27,"Dec 20, 2017"
17.25,"Jan 12, 2017"
18,"Dec 30, 2015"
19,"Dec 28, 2014"
10,"Dec 27, 2013"
4,"Dec 03, 2012"
0,"Nov 16, 2011"
