Bonus Dividend(%)	Date
8.5	7/12/2022
12	9/17/2021
17.1	3/20/2020
0	3/11/2019
30.12	11/21/2017
25	3/20/2017
26	3/29/2016
35	12/26/2014
50	12/31/2013
25	12/31/2012
0	12/29/2011
