Bonus Dividend(%),Date
5,"Feb 12, 2026"
5.1,"Jul 04, 2025"
7.75,"Feb 20, 2024"
8.5,"Apr 21, 2023"
14.5,"Sep 20, 2022"
25,"Jan 26, 2022"
0,"Aug 01, 2021"
4,"May 18, 2018"
20,"Mar 16, 2017"
28.5,"May 24, 2015"
8.29,"Jan 19, 2013"
27,"Jun 20, 2012"
